0002E1E1	Economic impact analysis
214D597D	Race
000736E6	Science communication
0015B48B	Rhizobacteria
001CE57D	Inversion
00327654	Service innovation
004734A2	Neutron activation analysis
00516A29	Carbide
005287A5	Vector calculus
00541D07	Folliculogenesis
00631928	Sedimentary rock
00634AED	Epithelial sodium channel
006FB818	Infinity
0074294F	Globalism
007DC95A	Very low-density lipoprotein
007EB10C	Transmission-line matrix method
00839E86	Surface water
009A8BF6	Universality
00ADDE2E	Hydraulic machinery
00B3A369	Chylomicron
00BB3814	Communications protocol
00BC38F3	Muller's morphs
00C30392	Geomatics
00EA12DF	Halogen lamp
00EEEB73	RDF Schema
00F1E2E0	Chern–Simons theory
010A649B	Spawn
010E89AB	Exciton
010FD2D8	Hypsochromic shift
0119A9E6	Mixing ratio
011EA5A9	Scenario analysis
011EE60A	.NET Remoting
0129D951	Galanin
0130638A	Innovation
01350F1A	Biasing
01362DD5	Radical cyclization
013EEDE9	Biological database
01436787	Proteinase 3
0146B3D5	Shoot
014C80A1	Deep sea
0165E6D0	Diamond anvil cell
01675530	Very large database
016A63C0	Fundamental assessment
016EC842	Forest restoration
0174DDCA	Plant anatomy
017876D4	Fusion power
017B1D73	Interview
017E57DE	Molecular mechanics
017FC9ED	Combination
01A50252	Perennial stream
01A8C9C2	Levitation
01AB58F8	Multi-task learning
01BF3E05	Thermal equilibrium
01C258A8	Shape optimization
01DBC1E0	CX3CR1
01DBFF5F	HIF1A
01DC0E72	Inelastic neutron scattering
01FAB0C4	Clipping
0203987F	Chemisorption
020C0AE1	Hemagglutination
0210267E	Reflection mapping
02105B54	Nomogram
02220B51	Ambulatory
022EEA04	Scanning probe microscopy
0231E397	Exon
0239461E	PDGFRA
023BEF12	Mirror image
024294A5	Internal rate of return
02521C34	Stylized fact
0257B98F	Autostereoscopy
02644EE4	Ant colony optimization algorithms
026CFB07	Type I and type II errors
026FB561	Reagent
0270A968	Electric charge
027AEBED	Fourier transform spectroscopy
02C15845	Refractory
02C2ABE6	Communication
02CB4199	Rational number
02D0157A	Information-theoretic security
02D254F0	Sonic boom
02DB891B	Speculation
02E13769	Microfiltration
02E72525	Biological classification
030115A9	Desiccation
0319A48F	Darboux frame
032724C0	Biodiesel
032F2154	Anaphase
0330DCF1	Histogram
03415524	Conformal field theory
0344ED1C	Symmetric matrix
034652A2	Orthogonal transformation
034E8B43	Stochastic approximation
0352F7C9	Non-sampling error
0376E687	Biofilm
037B57DE	Osmoregulation
0380BCCA	Asperity
0384BC12	QAM
0385353C	Thermal stability
039450E0	Aspect-oriented programming
0397E286	Coefficient of relationship
039F6427	Concept drift
03ACCF0D	Strain
03ADCCC9	Biostratigraphy
03B518C9	Thrust specific fuel consumption
03BFE624	Mixed-signal integrated circuit
03BFFA9A	Software security assurance
03E35F3C	Hardware architecture
03E5F134	Robot control
03ED494F	End-systolic volume
03F5DFF0	Pharyngeal reflex
04048F0A	Amphiphile
0408E8AD	Low-density parity-check code
04137EAA	Operator norm
0424D6B7	Ground state
04288D8E	RNase H
042E2D9A	Last mile
04305E80	Metaphase
04341854	Open Shortest Path First
0444F8D2	De-ice
0446BFF2	Confidentiality
0450E115	Dihedral group
045754A2	Rapid thermal processing
0460F385	Mantle wedge
04707F7F	Jewish Studies
048D33E4	Crystal chemistry
0496F4A4	Basic oxygen steelmaking
049CD544	Entoptic phenomenon
04B9B433	Coordinated Universal Time
04C416E1	Respiratory minute volume
04C98524	Methionine synthase
04E6C75B	Partial volume
05015A56	Reflex
0505C5C5	Linkage isomerism
050BB6BE	Goal orientation
0516FEA7	Stochastic volatility
051B0F84	History of science
052E1BA3	Waterlogging
05487572	Annexin
0560552E	Free induction decay
056F98A5	All-dielectric self-supporting cable
057331A8	Input–output model
058046B3	Differential dynamic programming
05842DCA	Domain model
058D154E	Thin plate spline
058E8EC6	Process variable
05957ACC	Static timing analysis
05A86613	Constructed language
05A9F0A2	Series and parallel circuits
05AAB6A1	Sequence-related amplified polymorphism
05B34918	Wreath product
05BBE4FB	Laser Doppler vibrometer
05CA23FB	Artificial bee colony algorithm
05CFDCF1	Contingency
05D05EDF	Reinforcement learning
05D80D02	Process
05D9894A	Analog multiplier
05DF8A88	Extraterrestrial life
05E30395	Markov chain
05F64FD9	Hygrometer
05FF82F9	Posttranslational modification
0623A076	Induction coil
0623EAC8	Coppicing
062A4ED9	Heterochromatin
06476EE8	Spread spectrum
064BE6E7	Drivetrain
064E9F52	Generalized coordinates
0653F58A	Dead reckoning
065D3D8D	Transition metal
0663A145	Aquaculture of tilapia
0664B9DE	Bergman space
0674501E	Oxygenate
067B4435	Factorization of polynomials
067B7AD3	AC power
067FC849	Grog
068DADA8	Balance of payments
069BF675	Miscibility
06BA8576	Hydrogen bond
06BF858C	Hypothalamic–pituitary–thyroid axis
06CC9E62	Automated planning and scheduling
06D2A089	Initialization
06D7B3E6	Intellectual history
06D83BEE	Thermal management of electronic devices and systems
06E2F687	Cache
06E78A0E	Heterogeneity
06E961FB	Langmuir
06E96F89	Juvenile
06EDCDDF	Automata theory
072BE465	Packet forwarding
072F7F3B	Biconjugate gradient stabilized method
07362DD0	Soil structure
0738A473	RFIC
073F98A1	Cancer
07430FEF	Evolutionary programming
0758CCAF	Kleene's recursion theorem
075E2250	Cubic zirconia
075EDC81	Microstrip
0761BCFE	Sponge function
07ADF2EB	Motion compensation
07B51204	Maximum bubble pressure method
07C0A7AB	Spectroradiometer
07D091C8	Linear prediction
08048900	Wetting
08068C26	Cermet
0817E4AA	Hash chain
08183038	Middleware
0827EE1F	Neural stem cell
08677641	Blueschist
086B26B6	Superresolution
0873BFC5	Pontryagin's minimum principle
0873DC1F	Ozone depletion
0880B742	Transmetalation
08A15705	Second-order logic
08A86D7D	Stille reaction
08ABBD41	Astrophysical jet
08BEC371	Acoustical engineering
08C39BCC	Minimum bounding box
08CB3815	Keto–enol tautomerism
08CB6A6F	Masking
08D820DB	Automobile handling
08DD0D72	Semiconductor detector
08DE479B	Synaptic vesicle
08ECCF25	Polymorphism
08FB142A	Brainstorming
08FB9FA4	Charge density
09006261	Structural variation
090F70ED	Unreinforced masonry building
091DD092	Belief propagation
0936588C	Computer multitasking
093DFFEB	Universal enveloping algebra
0944F57B	Shape analysis
094C72C8	Transfer-matrix method
095A4935	Isothermal titration calorimetry
095D8C0B	Block code
095E66A9	Sustainable transport
096E0E55	Heterogeneous network
096E2DF2	Formant
0980E5C0	Pipe insulation
0988FE19	Regulatory capture
09A071B3	Basalt
09BBAB7B	Noise reduction
09BECBA0	Respiratory physiology
09BF49A4	Brown dwarf
09C66DE0	Film genre
09DBFB25	Time-hopping
09F7AEBB	Chromatin remodeling
0A077DAA	Unilateralism
0A0C148B	Randomized controlled trial
0A1BCE20	Twin study
0A1E4944	Eigendecomposition of a matrix
0A25F7B1	Defuzzification
0A2B9093	MHC class I
0A2BC6CA	Geomagnetic storm
0A3E4409	Chemical biology
0A438068	Ubiquitous computing
0A454C5C	Estrogen receptor alpha
0A456C1D	Pulse wave
0A468CD6	Acoustic Doppler velocimetry
0A59A727	Economic lot scheduling problem
0A5A19D0	Piezoelectric sensor
0A91608D	Color filter array
0AA065CB	Public finance
0AA2A869	Room acoustics
0AB9327F	Contact mechanics
0ABC1AD0	Binomial theorem
0AD2A049	Further education
0B0253EA	Cauchy–Schwarz inequality
0B155135	ICAM-1
0B1D4712	Quantum network
0B2D7537	Cutting
0B2E74B5	Bond graph
0B3B5E2F	Central series
0B4488C7	Microfilament
0B482AB9	Wide-bandgap semiconductor
0B49E236	Visual Word
0B542182	Cytoplasm
0B5C82E4	Parasitology
0B686EC0	Bias of an estimator
0B7A44E7	Materials Science
0B8FBBBC	Sequential decoding
0B9956D8	RiskMetrics
0BAE2BBA	Thermochronology
0BBB6D30	ASCII
0BC8D998	Trellis modulation
0BCC7F8F	Contingent negative variation
0BD1EA7E	Synchronous optical networking
0BD3DA2A	Predictive value of tests
0BD80812	Triaxial shear test
0BE204A5	Zonal spherical function
0BE44978	Stackelberg competition
0BFF17B5	Lipophobicity
0C06A526	CAN bus
0C139977	Social pedagogy
0C24FBF1	Inclusion bodies
0C2D9A38	Molecular genetics
0C3A99DB	Interval estimation
0C566EA7	Energy conversion efficiency
0C5BE09E	Gesture
1DFB06B4	Agricultural land
1E0943DD	Social web
1E96C2D4	Media access control
1EDD8A06	Bromine
1F3A77B6	Lithium
1F655627	Environmental protection
1F666B5A	Colorectal cancer
201F1C6B	Glutathione
202EE6B4	Community building
2037E3F6	Otology
2046FDA2	Nuclear reactor
2047A30F	Antimony
209354B5	Society
000FC8CB	Propulsion
001A045D	Microwave transmission
001CF636	Asian option
0020279B	Mediator
002F9A87	Nitrogen assimilation
003F3CF4	Magnification
00414F50	Self-knowledge
00423923	Metamerism
0047DF5B	Ribonucleotide reductase
0050520D	Membership function
005A3367	Gene family
005B33C8	Domain engineering
005C462F	Biofouling
006428B2	Cognitive restructuring
00765DB6	String searching algorithm
008DE786	Secularization
008EC7B0	Channel
00953339	Dry season
00A06582	Data security
00A8DBB6	Business rule
00AAC1FB	Inverter
00BBA119	Mach–Zehnder interferometer
00D1F80B	Relative permittivity
00D202F3	Alternative fuel vehicle
00D8EEA6	Neuropsychology
00DEA430	Particle decay
00DF42F5	Dynamic light scattering
00E2B805	Kinase insert domain receptor
00E6C2DB	Psychophysics
00EC5FC6	Parapsychology
00F079D4	Parallax
00FFB224	Poisson point process
0101CCD1	Perfectly matched layer
010586FC	Bergman kernel
010ACEBD	Thermal engineering
0111B775	Endochondral ossification
01163129	Ionizing radiation
01197836	MPEG-2
0119AE08	Event calculus
011A077F	Anchoring
0122812E	Polyunsaturated fatty acid
0132F4C6	Surface exposure dating
01379093	Microtubule
01393CC9	Linearizability
013A2C52	Range
014910AE	Metabolomics
014B33DA	CTLA-4
014F0AC3	Beta-2 microglobulin
01503626	Perceptual learning
015178A7	Saturable absorption
01549EE7	Genomic organization
015BECD3	CpG Oligodeoxynucleotide
015E52E8	Autotransformer
01769203	Modified Frequency Modulation
01794A8D	Philosophy of mind
0189D6E8	Ontology
019D3E6C	Activation-induced (cytidine) deaminase
01B1E4E6	Image analysis
01BE0B03	Interacting boson model
01C0A8F7	Altitude
01C531A2	Heat transfer coefficient
01CDA72F	Electric discharge in gases
01CF6C54	Maceral
01DAAB4D	Flywheel
01E61F35	Excavation
01E7DD16	Computer vision
01F6E57C	Microclimate
01F90DA3	Harmony search
01FD3DD6	Contact area
01FDA535	Fluid statics
020A59CE	Ground dipole
0212E9C7	Active queue management
0229E4BB	Observability
022C46B0	Cladding
022C6839	Visualization
022EDD8E	Stability
022F97B2	Agency cost
02372203	Micromechanics
0249A918	Depth of focus
024BE5A9	Mixing length model
024E2D6D	Petri net
0250ED8F	Feed forward
0252909F	Electrochemiluminescence
025B6F20	Diffractometer
0263542F	Closed-world assumption
026588CA	Liquid rocket propellants
0265E889	Student's t-test
0271A5EE	CP violation
02760D3B	Photovoltaic system
027C02BB	Vectorization
028436E2	Anesthesia
02890167	ED50
028A7436	Repurchase agreement
02ACB08A	Communication in small groups
02AD1A92	Open addressing
02AFFF1C	Timing belt
02B31CDE	Bark
02B79091	Noise
02D40F95	Brix
02D958F8	Transmitter
02EB6CC3	Light field
02EF5F44	Dip-coating
02F185CB	Lymphokine
02F7EB5C	Degranulation
02F90512	Discrete dipole approximation
02FB9E1C	Fibroblast growth factor receptor 2
03016FC1	Spectral energy distribution
0302EA40	Economic growth
030B772F	Role model
03181AB1	Barrier function
031B48DB	Line source
031C63CF	Capacitor
032EDF95	Fick's laws of diffusion
033128F9	Genealogy
033700A0	Inverse limit
0338E145	Synaptonemal complex
033A9E69	Van Allen radiation belt
0341F643	Irreducible component
0348F3E8	Functional analysis
035D7645	VTEC
03730539	Rate of convergence
0375D372	Quantum computer
037EDEE9	Abstract syntax tree
0380451C	Connected-component labeling
03813DC4	Elementary mathematics
03950EB1	Thermogravimetric analysis
03959D81	Social media optimization
03985AFF	Local regression
03B4F986	Fischer–Tropsch process
03BB415D	Social consciousness
03BBE236	Variance reduction
03C65C80	Stochastic calculus
03C98E70	Fault tolerance
03D87B37	Panel reactive antibody
03DC1187	Spatial contextual awareness
03E623B0	Autonomy
03EBB454	Asymptotic distribution
03ED6F7D	Gaussian filter
03F62FB2	Water balance
04138BBC	Filmmaking
04285054	Intermediate polar
04545194	Data integration
0459E7F8	Discretization
04714DCC	cGMP-specific phosphodiesterase type 5
047BBEF5	Inflation
0484B74A	Canonical analysis
04AF676E	Fight-or-flight response
04BE2E46	Partial melting
04F3567F	Information processing theory
04F8E2AD	Rainwater harvesting
04F9919D	Antigen presentation
04FFBD0D	Phytosociology
052C8542	Logistics
052D5DEF	Approximate entropy
052F665A	Quality function deployment
05364165	Salt marsh
05392C51	Object-oriented software engineering
053E06F4	Extensible Authentication Protocol
05448D7E	Nonmetal
0551C99B	Rule of thumb
0555BDB1	Dispersion
055F03A8	Albedo
0567EE20	Character animation
0568815F	Conceptualization
05776F6E	Morphophonology
05890807	Chaos theory
0592921B	Becoming
059C39ED	Categorization
059C561E	Grafting
05A71195	Data compression ratio
05AB718A	MUSCLE
05CB60BC	Reactive planning
05DAA310	Penetration test
05E3C8CD	Monitor
0600B575	Desensitization
061E1FDA	Scintillation
0620744A	Fluctuating asymmetry
0629AED2	Enteroendocrine cell
06337AC8	Multilateration
0633E965	Geometric modeling
064301D2	Mean difference
0644097E	Garbage collection
0645D599	Tetrahedron
064BF432	Verbal memory
065113FA	Behavior
065E5EFC	Surface plasmon resonance
0664AD66	Carbonaceous biochemical oxygen demand
0676F06B	Low-density polyethylene
068914C6	Magnetic particle inspection
0699BEE7	Mosaic
069BE2A4	Plasmon
069F64C6	Hidden surface determination
06A4B9E3	Legendre polynomials
06AA60C9	Fusion gene
06AD9993	Light-gas gun
06B06827	Rejuvenation
06B26AC3	Iris recognition
06C6F9B6	Effective dose
06DE34B3	Distortion
06F453ED	Outbreak
0712A551	Solar simulator
07146461	Tumor necrosis factors
072BB64B	Algal bloom
073A774F	Health indicator
0740C224	Computer graphics (images)
07539CF6	Four-bar linkage
075C6041	Baum–Welch algorithm
075F137F	Contact resistance
07750E04	Chemostat
077C689E	Telomerase reverse transcriptase
077CBC90	Maximum transmission unit
07899683	Mineral resource classification
07A537EE	Ethical code
07ACDC46	Generally accepted accounting principles
07B1C993	Functional ecology
07B5E46C	Profitability index
07BFBB25	Hedge
07C31C2E	Dry rot
07EA08EA	Space–time code
07FAB5C3	Early Cambrian geochemical fluctuations
080A99BE	Convex body
080B9040	Dual in-line package
080DB327	Fast multipole method
0816062C	Symplectomorphism
082018AE	System bus
082053F5	Grouped data
082A1548	Tournament
082C8127	Line bundle
083099E4	Decision matrix
08376609	Balancing selection
083E300E	Linear network coding
083FC02A	Cardinal point
0840149F	Articulated robot
08470D3A	Hyperboloid model
08561CD0	Cathodoluminescence
0862AEDF	Rejection rate
08689464	Surgery
0868B152	Laboratory
087EF061	3T3-L1
08830C8F	Surrogate data
0893E577	Capital market
0895A350	Sociology
08962857	Residence time distribution
08A1B1CA	Autobiographical memory
08AEB5EA	Surface micromachining
08AEC45B	Discrete optimization
08B024DD	Brazilian real
08C00EAD	General Social Survey
08C2B2E0	Domo
08C676EC	Helix
08CA859A	Food spoilage
09139AE6	Shearing
092E238C	Path integral formulation
09487BAB	Comparator
096630F6	Query optimization
0972332C	Imaging spectroscopy
097255F0	Gyroscope
09786949	Latin Americans
0979B73D	Magnonics
09811BDC	Instructional design
098BA56E	Psychogenic disease
098CFB0F	Bayesian inference
098F8FB9	Queue
09900A2C	Thermal decomposition
09B08F5E	Magnetic energy
09DCBA2C	Cleaning agent
09E5C341	Empirical evidence
09F039BD	Related rates
0A00ADBF	Bioinorganic chemistry
0A0D1833	Directional drilling
0A198C50	Traction
0A1D2DFD	Minimum tillage
0A220DE6	Display size
0A2D78A6	Supervenience
0A36BBE7	Thermosetting polymer
0A3A4E53	Wilkie investment model
0A3C8B1F	Normed vector space
0A4709F5	Vegetation
0A563FD6	Voltage-gated potassium channel
0A5DA609	Valve actuator
0A8CCC2F	Microcarrier
0A8F1B63	Negative thermal expansion
0A9C33EF	Trigonometric functions
0A9CF9D4	Software performance testing
0AA68668	Dynamical system
0AA956DA	Spherical Earth
0AAF1A52	Affinity chromatography
0AB281B9	Bacterial adhesin
0ABBBD9C	Econometric model
0AD36F29	Bone morphogenetic protein 6
0ADDAB80	Total cost
0ADDC612	Order
0AE1BD4D	Commutator
0AE669B4	Continuity equation
0AE67E2F	Primordial black hole
0AF14D2D	Biomineralization
0AFD104E	Best practice
0B053DA3	Electromagnetic interference
0B0D6F92	Estimator
0B10518F	Health promotion
0B164345	Structural break
0B1F0322	Dado
0B1FCD67	Maxima and minima
0B37AD09	Limiting
0B4234C2	Robot learning
0B4736CD	Topology optimization
0B4E7F98	Information exchange
0B4FDDEA	CPU cache
0B5C9997	Submarine canyon
0B6A1AA0	Biocatalysis
0B6F0D26	Machine-readable data
0B70C7F3	Shear strength
0B8E00AA	Cell encapsulation
0BA76C96	Liver cytology
0BAB289D	Metrology
0BCFFB82	Electron localization function
0BE40176	Global change
0BE7B1E9	Endosymbiosis
0BFB1711	Guidance system
0BFE1F9A	Computer architecture simulator
0C035FA7	Process development execution system
0C0CF833	Automatic vehicle location
0C0D1996	Information gain ratio
0C16C5A5	Prototype
0C17CF30	Target rating point
0C1CF1C8	Additive model
0C1D1AC6	Multiplicity of infection
0C273C83	Ring-opening polymerization
0C278060	Critical care nursing
0C309F7A	Indicator plant
0C32F2E6	Rockfall
0C3AF694	Overbite
0C4796AB	Natural ventilation
0C4A9FF3	Earnings per share
0C577E2A	Protein function prediction
0C64DD3D	Major histocompatibility complex
1DCF95AF	Professional ethics
1DD382B4	Thulium
1E8D1B9E	Public records
1E95241B	Interventional radiology
1EE1A66B	Platinum
1EE6415A	Geothermal energy
1F2C0137	Spitzer Space Telescope
1F3B7FE6	Cement
1FA7AE21	Astatine
1FD23223	Cerebrum
20525CC4	Tungsten
20DB1B3E	Data retrieval
20E6D21F	Malnutrition
0000322B	Gravitational singularity
000BD148	Margin
000E2576	Distributed feedback laser
0013B31C	Dry etching
001A0CE0	Angular distance
00203EED	Extracellular fluid
0035D4BA	Dormancy
004D664D	Delta
00538B28	Affine Lie algebra
006A0236	Vacuum energy
008752B1	Taste
009877C2	Pessimism
0099F74D	Social cue
00A103E1	Skin
00B2476A	Asymptotic expansion
00B551DF	Cyclin D
00BC2DD4	Selection
00C9778B	Form factor
00D19A65	Industrial engineering
00F2BD16	Radiative cooling
00F86276	Memory effect
00FEE4B6	Saline water
00FFB1BE	Power function
010567A0	Metamemory
010AADA3	Ammeter
011F1822	Laws of thermodynamics
012D434C	Flicker
013007BA	Molecular cloning
013266E0	Continued fraction
016CF4D4	Algebraic equation
0170183D	Molecular vibration
0174C04F	Carboxylation
0174CECD	Whole genome sequencing
0174F06B	Biomimetic synthesis
017B50D4	Theory of computation
017B8658	Coal liquefaction
01A380F9	Neogene
01A79367	Cost contingency
01AA96DA	Bernoulli distribution
01B249CF	Rigid body dynamics
01BF6402	Plane stress
01C79E7B	Ruin theory
01D13236	Absorption refrigerator
01F1979E	Dorsal raphe nucleus
01F21FAC	Stochastic ordering
01FAF06A	Identity function
020012A3	Desertification
0200FC75	Atomic absorption spectroscopy
0207DCD3	Pollen tube
020FDEC1	Reversible addition−fragmentation chain-transfer polymerization
021DFA92	Segmented regression
0255219C	Contractility
025CC8BA	Polynomial code
027CB481	Dynamic contrast-enhanced MRI
027E9F3E	Social theory
02ACD94D	Multivariate adaptive regression splines
02C26938	Legitimacy
02C6D80D	Deformation
02CD7671	Density dependence
02D7AF74	Carbon dioxide removal
02D7E365	Feedforward neural network
02F08F76	Frequency offset
02F8F5BF	Convex set
02F9FC32	Probabilistic logic
02FF6679	Lead–acid battery
03039DB0	Discoidin domain-containing receptor 2
031A84FA	The Renaissance
032A5407	Rational design
03316CC5	Pleistocene
033F91CB	Photopic vision
035D8A74	Eye tracking
035EAC86	Elevator algorithm
036822CC	Limiting current
036D19C9	Commodification
0370F323	Synthetic vision system
037F9C73	Bounded rationality
0381FA73	Quantum gate
0383DEC0	Semi-supervised learning
0385082A	Case analysis
03980FC2	Contingency theory
039FB53B	Division
03A1647C	Perceptron
03A756C8	Explicit Congestion Notification
03B58E50	Crowdsourcing
03B645BF	Phenotypic plasticity
03B9FD3C	Quantum mechanics
03CB6E69	Steam distillation
03DD5F5A	Thermal insulation
03DE3562	Homologous chromosome
03FD7C11	Natural remanent magnetization
040883D1	Prism
040C3505	Anti-lock braking system
04196F19	Parallel evolution
042137C9	Nuclear fusion
0438EB42	Plant morphology
043E12AE	Functional principal component analysis
0443D6FF	Nameplate capacity
0463618A	Distance transform
046BC859	Interleukin
046ECEEC	Signature recognition
0471AAB1	Short Message Service
0473132E	Classical mechanics
048EDB0B	House of Quality
0495F1D5	Laccase
049B4AF9	WirelessHART
04ACCFEA	Diode
04B85004	Conic optimization
04BB259B	Web development
04CF1F6B	Weak duality
04EC1994	Kolmogorov–Smirnov test
04EF1276	Mesoporous material
04F01946	Interest rate parity
04FCD2CA	Hyperbolic space
050A381A	IPv6
05107FE8	Flexible electronics
0523F816	Bifurcation diagram
052567C4	Supply shock
052860B4	Delegation
053111FC	Japanese
05318DE2	Dynamic range
0532DE4C	Bin packing problem
056A44D2	Pulsed electromagnetic field therapy
056CEF6D	Quasi-likelihood
056F6BBA	Vector field
05729318	Double negative
0575BD38	Volatility
057E4A55	Intramedullary rod
057F899F	Discontinuous Galerkin method
05808DDC	Hydroelectricity
0589BEE5	Pseudorandom generator
058B4EFE	Gingival sulcus
05A0A0B2	Hydrolysis
05A5BC0F	Spatial variability
05B3285D	Weighted Majority Algorithm
05D674B3	Tabnabbing
05D780F8	Schottky effect
05D79862	Absorbance
05DF0427	Text segmentation
05FAE822	Ćuk converter
060746B5	Cosmogenic nuclide
0609BFFD	Centripetal force
061E58D8	Therapeutic effect
0622CCF3	Linnaean taxonomy
063BBB5B	Anaerobic oxidation of methane
063E4B80	Neuroendocrinology
063ECED9	Composite number
06438BAF	Shellsort
06493B3F	Binary function
0653DCA0	Random testing
0663373B	Rapidity
0667AC6E	Human–computer interaction
066D578C	Anti-de Sitter space
0680F868	Thyroid hormone receptor
0683BFA9	Password
068551EF	Noise, vibration, and harshness
06884372	Derived category
0689B163	Legendre pseudospectral method
068FC338	Chromatography detector
0694AE4F	Inertia
06956A57	Building-integrated photovoltaics
06999858	Diffusion-limited aggregation
069FE435	Immigration policy
06ABC255	Operating system
06E0FD77	Ontology Inference Layer
06E5B542	Level set
06ECEC9C	Grandparent
070A8D19	Transforming growth factor
070B4184	Brackish water
070C55BA	Ratio estimator
071040CA	Encoder
07136826	Automorphism
071B0D6C	Rights
071B990B	Felling
072538C9	Mean-preserving spread
073086E7	W-CDMA
07463593	Ball
075187E8	Interpreter
076B0920	Alarm signal
076D7719	Potentiometric titration
077CB180	Entropy
0784BDFB	Attentional control
0796A60A	Geology
0798B3B6	Ambiguity aversion
07AA2F7C	Peer group
07AC128F	3D optical data storage
07AD640E	Eigenfunction
07E3F368	NS3
07EA0842	Weighted voting
07EC282E	Radial basis function network
07FD0B7E	Error correction model
0800E7C8	Transactional memory
0801842D	Application software
08177F37	Dynamo
081B5680	Confocal
0820B093	Combine Harvester
08258347	Surface plasmon
08364D75	Point of delivery
083A3222	Session Description Protocol
083C50E7	Clastic rock
085B23D4	Lorentz force
087850CC	Structural dynamics
088012C6	Rényi entropy
08824D8E	Doppler effect
08851D3E	Color superconductivity
088701EC	Mutant
089C6D96	Troponin T
08A46F8F	Deformation
08A85656	Recursive least squares filter
08C3F863	Krylov subspace
08C44360	Continuous-time Markov chain
08C59DC2	Recurrent neural network
08C62759	Discrete event simulation
08C9F361	General relativity
08CA6CAE	Antigen
08DCD38B	Simplification
08F3A6A5	Test functions for optimization
0902680B	Marine ecosystem
090EAF80	Pulverised fuel ash
091BC7BE	Monolith
091ECD1B	Scattering amplitude
092029DA	Diel vertical migration
092A77AE	Adjoint functors
093D9A21	Backpropagation
09560BBF	Soil horizon
095ACC57	Earthworks
09695CDE	Substorm
096E5D04	Need for achievement
0971AB31	Gibbs measure
09740CD5	Causal inference
09742AD6	Prosocial behavior
0977C25E	Complex geometry
097DF37D	Dark matter
09904103	Phagocytosis
099C1062	Silt
09A09A44	Canonical transformation
09A2B366	Face perception
09A7BB5E	Electrorheological fluid
09A88BE1	Bootstrap aggregating
09B4B805	Tracheid
09C0E10A	Monic polynomial
09C46A80	Accounting information system
09F58607	Mean squared prediction error
09F5B7F2	Beltrami equation
09FFB95A	Symmetry
0A02F55D	Generative model
0A0C0092	Recycling
0A13F8B6	Mysticism
0A18E585	Petroleum product
0A2A2F30	Compactification
0A2B3354	Dark fermentation
0A324C87	Hat matrix
0A3292BB	Public
0A352771	Cramér–von Mises criterion
0A36DE7A	Representative democracy
0A4726D9	Hopf bifurcation
0A52F872	Settling
0A6B4472	Galaxy formation and evolution
0A7600ED	Language
0A7D548B	Concept
0A87CEE5	Kerr effect
0A990802	Chemical reaction
0AA7ABC7	Vortex shedding
0AA9BA83	Social structure
0AA9F344	Sagittal plane
0AB4876A	Elliptic curve
0AB610BA	Residential gateway
0AB6644E	Cryogenics
0AC27DF7	Time allocation
0AC557DC	Roller mill
0AD45078	Domain wall
0AE27EDB	Lytic cycle
0AF5FD80	Sphere packing
0AF9E451	Shuttle Radar Topography Mission
0B00E6A0	Lubrication
0B02696F	Cultural conflict
0B093AA4	Liposome
0B0EBD36	Loess
0B10B4E9	Sobolev inequality
0B25AE23	Component Object Model
0B27C5FB	Occupational safety and health
0B30A009	Management
0B35116D	Polymer chemistry
0B3BDA10	Coal combustion products
0B3F2E9E	Insight
0B41A04B	Belt drive
0B4670DA	Extracellular matrix
0B485A6D	Achene
0B49EC6E	Atomic orbital
0B4ECF87	Common-mode signal
0B620B8D	European integration
0B731560	Cohort effect
0B88797F	Penetration depth
0B8C39CB	Preadolescence
0B93C2A6	Transition
0BB17369	Discrimination learning
0BC2284B	Representation theory
0BC3B7F7	Poisson manifold
0BCF0C45	Hydrolyzed protein
0BD514C7	Polygon
0BDE21EA	Bees and toxic chemicals
0BE1E8F0	Restricted Boltzmann machine
0BE6D51B	Cold-shock domain
0BEF6807	Atmospheric pressure
0BF2BCD2	Authority
0BF77EA3	Arc flash
0BF98784	Vortex tube
0C0678E8	Progenitor cell
0C1265A5	Vinyl
0C24241B	Airspeed indicator
0C398647	Autodidacticism
0C3B27C4	Bilinear interpolation
0C3FCD7F	Quantum efficiency
0C624FED	Marine reserve
1E6FF6A7	Lead
1E9EC275	Carbon nanotube
1FFEE89E	Plastics industry
202D2185	Public transport
2129167A	Language policy
00047E9E	Newtonian fluid
00165C5B	Longest path problem
00179E98	Immunogenetics
001FFF58	Cyclic code
0028E3FC	Paternalism
00365928	Difference-map algorithm
0039DFA9	Molecular beam epitaxy
00426FB2	Po
00441983	Oxygen saturation
00561B1F	Revolute joint
0059F32E	Software agent
005D3B5C	Cadmium telluride photovoltaics
00624B42	Eddy-current testing
006E87E6	Scotopic vision
0071083D	Paleobotany
0079F11B	Criticism
007AAA53	Unsupervised learning
00845AA2	Microfluidics
00925083	Trailing zero
00A88C43	ElGamal encryption
00AB039C	Developmental robotics
00BEFA1A	Water maze
00CAA5E7	Geodesy
00CB8059	Vector space
00CDEE6F	Asthenosphere
00DE7CF3	Very-large-scale integration
00EC51AE	Photopolymer
00EFAF77	Humanities
00FE97D1	Andrology
0119CD3E	Pulpotomy
01274AE9	Religious education
012BF53A	Biophysical chemistry
012EFC55	Tuned mass damper
01306DA5	Before Present
0136BDF6	Oceanic basin
013D3C7E	Taxicab geometry
01484601	Composition operator
